Business,Sticker shown?,Address,Business Type,Photo
3 Ravens,Yes,"159 W Clayton St, Athens, GA 30601",jewelry,
Adams Optics,No,"163 N Jackson St, Athens, GA 30601",optician,
Agora Vintage,No,"279 E Broad St, Athens, GA 30601",clothes,
American Threads,No,"269 N Hull St, Athens, GA 30601",clothes,
Aurum Studios,No,"125 E Clayton St, Athens, GA 30601",jewelry,
Barberitos (Downtown),Yes,"259 E Clayton St, Athens, GA 30601", restaurant,
Bear Hug Honey,No,"193 E Clayton St, Athens, GA 30601",,
Bel-Jean Copy & Print,Yes,"163 E Broad St, Athens, GA 30601", shop,
Ben And Jerrys,No,"105 College Avenue, Athens, GA 30601", ice cream,
Bike Athens,Yes,"1075 W Broad St, Athens, GA 30606",,
Blue Rat Smoke Shop Athens,No,"2712, 260 1/2 W Clayton St, Athens, GA 30601",tobacco ,
Blue Sky Bar,No,"247 E Broad St Suite B, Athens, GA 30601",bar,
Bubble Tea,No,"151 E Broad St, Athens, GA 30601", cafe,
Cellphone & Computer Repair,No,"480 E Broad St #103, Athens, GA 30601",,
Chuck's Fish,Yes,"220 W Broad St, Athens, GA 30601",,
Cillies Clothing,No,"175 E Clayton St, Athens, GA 30601",,
Cine,Yes,"234 W Hancock Ave, Athens, GA 30601",,
Cloud 9,Yes,"378 E Broad St, Athens, GA 30605",tobacco,
Community Athens,Yes,"260 N Jackson St, Athens, GA 30601",clothes ,
Cozy Bar,No,"179 N Jackson St, Athens, GA 30601",bar,
Cravings,Yes,"480 E Broad St, Athens, GA 30601",restaurant,
Creature Comforts Brewing Company,Yes,"271 W Hancock Ave, Athens, GA 30601", bar,
Cutters Pub,Yes,"120 E Clayton St, Athens, GA 30601",bar,
Cvs Pharmacy,Yes,"170 W Broad St, Athens, GA 30601", pharmacy,
Dawg Gone Good,Yes,"224 WEST HANCOCK AVE, ATHENS, GA 30601", restaurant,
Dukes,No,"225 W Clayton St., Athens, GA 30606", restaurant,
Dynamite Clothing,No,"143 N Jackson St, Athens, GA 30601",clothes,
Five Bar,No,"269 N Hull St, Athens, GA 30601",bar,
Flicker Theater,Yes,"263 W Washington St, Athens, GA 30601",,
Fringe,No,"153 E Clayton St, Athens, GA 30601",bar,
Froggers,No,"228 W Hancock Ave, Athens, GA 30601",convenience ,
Georgia Theater,Yes,"215 N Lumpkin St, Athens, GA 30601", bar,
High Country Outfitters,Yes,"238 E Clayton St, Athens, GA 30601",clothes,
Horton's Drugs,No,"101 E Clayton St, Athens, GA 30601", pharmacy,
Jinya Ramen,Yes,"351 E Broad St, Athens, GA 30601",,
Jittery Joes (Downtown),No,"297 E Broad St, Athens, GA 30601", cafe,
Last Resort Grill,No,"174-184 W Clayton St, Athens, GA 30601",,
Little Kings,Yes,"223 W Hancock Ave, Athens, GA 30601", bar,
Low Yo Yo,Yes,"261 W Washington St, Athens, GA 30601",,
Mother Pho,No,"167 E Broad St, Athens, GA 30601",,
Native America Gallery,Yes,"195 E Clayton St, Athens, GA 30601",,
Pageboy Salon,No,"132 College Ave, Athens, GA 30601",hairdresser,
Pita Pit,No,"123 N Jackson St, Athens, GA 30601",fast food,
Pitaya,Yes,"282 E Clayton St, Athens, GA 30601",clothes,
Reddy Urgent Care,Yes,"909 E Broad St Apt 400, Athens, GA 30601",hospital,
Republic Salon,Yes,"312 E Broad St, Athens, GA 30601",salon,
Rook & Pawn,No,"294 W Washington St Ste 300, Athens, GA 30601",cafe,
Shokitini,Yes,"251 W Clayton St STE 117, Athens, GA 30601",restaurant,
South Kitchen + Bar,No,"247 E Washington St Suite 101, Athens, GA 30601",restaurant,
Spirits On Washington,Yes,"318 E Washington St, Athens, GA 30601",alcohol ,
Tame Style Bar Salon,,"940 Prince Ave Suite A, Athens, GA 30606",,
The Blind Pig Tavern,Yes,"312 E Washington St, Athens, GA 30601", pub,
The Globe,-,"199 N Lumpkin St., Athens, GA 30601",,
The National,Yes,"232 W Hancock Ave, Athens, GA 30601",restaurant,
The Office,No,"351 N Hull St, Athens, GA 30601",bar,
The World Famous,No,"351 N Hull St, Athens, GA 30601",bar,
Trappeze,No,"269 N Hull St, Athens, GA 30601",,
Urban Outfitters of Downtown Athens,No,"155 E Clayton St, Athens, GA 30601",,
Waffle House (Downtown),Yes,"140 W Clayton St, Athens, GA 30601", restaurant,
Walk The Line Tatoo,No,"364 E Broad St, Athens, GA 30601", tattoo,
Walker's Pub And Coffee,No,"128 College Ave, Athens, GA 30601", bar,
Wuxtry Records,No,"197 E Clayton St, Athens, GA 30601",shop,
Zombie Coffee & Donuts,Yes,"350 E Broad St, Athens, GA 30601",bakery cafe,
